CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,AL1,Dpp1,Kc1,AL2,Dpp2,Kc2,AL3,Dpp3,Kc3
-0.7192148134,-0.7172846997,-0.5573473113,-0.9976241567,-0.7682878882,-0.959464632,-0.9997183565,-0.7373729771,-0.8746728516,3.430781199,3.181394111,2.547458584,2.968055988,2.403870434,4.577412563,4.82277832,5.006245398,4.414839999,68.211081,38.1210261,15.97521902,67.00513254,32.59910531,16.06132891,69.08409551,37.12454981,18.33012771
-0.7569430007,-0.6891451776,-0.5518776153,-0.9623081281,-0.7305431878,-0.9832684971,-1.026168893,-0.7480035423,-0.8784748535,3.540022795,3.119046706,2.797555416,2.957085046,2.363654092,4.619150231,4.900193604,4.967737619,4.216032502,68.54391077,38.58372028,21.00549728,67.79222799,33.00499387,18.02553931,66.47568225,37.61556403,18.33486363
-0.7064061922,-0.7160865234,-0.5246628688,-0.9568950703,-0.7560101641,-0.9756577375,-1.032519942,-0.7584492281,-0.863203125,3.46580652,3.407792628,2.579493898,2.968358634,2.504800867,4.638003016,4.662703125,5.011395375,4.290155277,66.99013256,38.60933727,19.3980879,67.63623202,33.13077757,19.93947806,64.45681225,38.15669932,18.35076123
-0.7111825914,-0.707294024,-0.5661335956,-0.9892541864,-0.7497782889,-0.9862757881,-0.9785238602,-0.7597988477,-0.8806413574,3.559235714,3.185944434,2.569010798,3.027147752,2.560600293,4.502982204,4.717087646,4.942690006,4.463942428,68.45651881,38.03690998,20.18233364,66.27997342,32.71332654,20.82109096,69.06019199,37.06313902,18.36843758
-0.7338481264,-0.7008273962,-0.545017092,-0.9329059246,-0.7390817869,-0.9902315324,-0.9944136491,-0.7459883569,-0.8269672852,3.584654576,3.163033159,2.599157851,3.158269426,2.477110927,4.459936828,4.515169434,4.815930355,4.374181938,66.23721689,39.09035653,19.39783934,65.92523413,33.58161005,24.12016603,67.77129209,37.50352115,18.3756614
-0.7687319411,-0.7519613306,-0.5271770566,-1.007925659,-0.765609112,-0.9938865477,-1.002443711,-0.7465429951,-0.8648173828,3.459345539,3.226099037,2.575587153,3.017690043,2.49305362,4.673311121,4.470704102,4.888264117,4.483228944,68.61223056,38.63207635,20.21411061,67.04513061,33.1590407,20.19027928,67.51016868,37.14871413,18.37892923
-0.7362094923,-0.7140073352,-0.5466753861,-0.9579919895,-0.7302269434,-0.9283276035,-1.046098047,-0.786883679,-0.8875444336,3.653685063,3.233603078,2.625984171,3.004827559,2.457692007,4.665246924,4.443568848,4.76396241,4.429643704,67.683529,38.62539105,19.26914671,67.17909446,33.10996674,21.09186897,65.81172443,38.00208029,18.38997535
-0.753561954,-0.7240508716,-0.5727533988,-0.9640488911,-0.7516199476,-0.944659507,-1.002833047,-0.7492052584,-0.8937041016,3.550479384,3.375541217,2.6224681,3.035848844,2.5496322,4.479770394,4.83737207,4.751555648,4.428184184,67.20105564,38.85731721,22.45705501,68.47976256,33.20960643,19.01745712,66.56724127,37.9629876,18.39902718
-0.7190180329,-0.7400324286,-0.5237401083,-0.9941664767,-0.7247391728,-0.9164603705,-1.014294135,-0.7537717794,-0.9031135254,3.586949924,3.11713078,2.739735581,3.06422197,2.459070511,4.452635461,4.680375244,4.809492885,4.383668819,65.63227689,39.37747884,23.33296935,66.38583006,33.53757574,23.57610903,66.88377306,37.84884982,18.44956789
-0.7298588491,-0.7361207355,-0.5440408382,-0.9334543842,-0.735714714,-0.9599041592,-0.9784265261,-0.7572105362,-0.8910915527,3.471842437,3.323571741,2.543226277,2.994764557,2.552209402,4.418853014,4.481307373,4.946903623,4.364278051,67.15392756,39.1195379,24.24061614,65.29448025,33.65519786,24.35372745,65.92222056,38.13924284,18.47443818
-0.7062809682,-0.7232579608,-0.5336898731,-1.022209454,-0.7992984429,-0.9088727439,-1.028115575,-0.7411999806,-0.9026037598,3.391760271,3.153533363,2.565234277,3.045457876,2.43174018,4.655766044,4.781619385,4.737393213,4.457895844,69.62859414,38.31570159,19.46838294,68.99431757,33.01707858,19.25436066,67.47390306,37.59777821,18.47500893
-0.7020680768,-0.6868281161,-0.5425497108,-0.9643231209,-0.7772078408,-0.9038875808,-0.9612348939,-0.7226288454,-0.83555896,3.377350582,3.176245062,2.698291521,2.955382658,2.434407284,4.469472196,4.830474243,4.735344927,4.426047029,67.23795002,38.99729123,18.18173483,62.4299452,33.68346618,21.37604533,65.23590977,38.07750282,18.49778126
-0.7084813319,-0.7391337964,-0.5728603855,-1.008879501,-0.7294456337,-0.9785262305,-0.9477419567,-0.741070565,-0.8846982422,3.464106262,3.247174216,2.599027626,3.112721101,2.348730292,4.6009513,4.763491211,4.945382039,4.42067808,69.21824006,38.55807146,19.30332624,67.68231944,32.80778742,24.13502259,68.43000487,37.13832173,18.53062873
-0.7578106237,-0.7448339438,-0.5672101495,-0.9352309163,-0.7792169229,-0.9896647737,-0.9961778293,-0.7323165257,-0.8298665771,3.645651342,3.352829518,2.642815733,3.111245698,2.366560936,4.668679657,4.722389282,4.719894997,4.428966069,67.78434727,38.65663308,21.41180246,66.16500817,33.40238996,22.60305963,67.48488151,37.71938552,18.56588867
-0.7184545251,-0.710016351,-0.5283739706,-0.9964676224,-0.7728176243,-0.9772654815,-0.9971511701,-0.7312812011,-0.8473685303,3.387892184,3.298544966,2.572494313,3.211119102,2.418824201,4.624217598,4.47703186,5.033575388,4.479840772,70.02133202,37.94582207,18.5402005,64.88137436,32.80241203,21.36518345,68.87962539,36.92840357,18.57723555
-0.7234724277,-0.6859559143,-0.5296644979,-0.9722996311,-0.7842489295,-0.979960477,-0.9855562476,-0.7364485802,-0.9070854492,3.371442185,3.248291839,2.770273309,3.063541015,2.517626944,4.470834392,4.836687988,4.985879582,4.395449231,70.60830827,38.04352341,20.00129886,71.20808847,33.01705969,18.99158971,68.43159338,37.10837938,18.6320842
