CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,AL1,Dpp1,Kc1,AL2,Dpp2,Kc2,AL3,Dpp3,Kc3
-0.76792693,-0.6952417804,-0.5605167929,-1.017774085,-0.7538708636,-0.9884040248,-1.034880294,-0.7332501667,-0.832298584,3.448718924,3.289085084,2.685952716,3.109770295,2.557004197,4.340390557,4.880811279,4.952521779,4.482707687,70.7613691,38.22871823,17.67532849,65.80709798,33.01795012,22.86859889,67.75141877,37.9085942,18.08028445
-0.7442417143,-0.7556439606,-0.5514764151,-0.9520543182,-0.7273063333,-0.9461168865,-1.021545524,-0.7395360661,-0.8424089355,3.557195404,3.218515166,2.735177711,3.240816308,2.426825515,4.683445855,4.630437256,4.80129974,4.44309214,71.18085977,38.14301474,18.29622851,66.7435924,33.09139075,19.16304529,68.376361,37.66808549,18.12584604
-0.7088391146,-0.7139720947,-0.5521584555,-0.9948580127,-0.7466344475,-0.9136612766,-0.9961169955,-0.7751623254,-0.8270097656,3.524975509,3.220670582,2.717532243,3.139656655,2.512952019,4.617951499,4.793134766,5.027313484,4.275977081,68.48803806,38.3509834,20.73085059,67.38781617,33.08300399,23.919864,67.23795002,37.96051502,18.16473206
-0.76357987,-0.7209497095,-0.5678320098,-0.9583258345,-0.7650138284,-0.9191206664,-1.006337074,-0.7554172061,-0.8804501953,3.483829258,3.397255038,2.677683438,3.204120398,2.425926491,4.314127429,4.707852539,4.94444568,4.346451054,66.64273225,39.94474767,23.58352952,65.79922081,33.71529695,23.63184131,68.046001,38.35647372,18.22546392
-0.7472113108,-0.68858133,-0.5343317935,-0.9966464679,-0.7811422933,-0.9825282408,-1.002030041,-0.7533280689,-0.872357666,3.335991799,3.361730589,2.74963267,3.158042441,2.354064502,4.678432976,4.684935791,4.941519557,4.426203406,71.284249,38.47386892,16.90134731,70.98881797,32.53320968,17.99550105,67.27485452,37.33872136,18.22630585
-0.7687677194,-0.7070297205,-0.5463009326,-0.9809796003,-0.7753940861,-0.9554394887,-1.016995156,-0.7631451647,-0.8996938477,3.34797862,3.283097817,2.755427676,3.199429374,2.463685501,4.505270692,4.825286621,4.797203168,4.357501707,68.37015939,39.12933021,19.35652241,66.596752,33.76174002,19.83924536,67.7287415,37.83733967,18.23671334
-0.7188212524,-0.735644989,-0.5630978475,-0.9288997849,-0.7332777718,-0.968208909,-1.010960443,-0.7777876128,-0.8811723633,3.379943476,3.297786579,2.715318421,3.158874719,2.527456273,4.473013905,4.568983887,4.717612621,4.426724664,68.62258502,39.32805006,23.5870848,67.55401577,33.89111299,23.95945353,66.56724127,38.51852089,18.2422074
-0.7528642777,-0.6918939349,-0.573863386,-0.9580158356,-0.7408862403,-0.9663351354,-1.030354259,-0.7792851359,-0.861567627,3.388019703,3.128307012,2.781667984,3.166213901,2.554726669,4.628304184,4.509354736,4.93636958,4.282336419,69.24112127,38.52942469,18.06306914,68.07436402,33.26544968,17.97901458,67.33429006,37.93489734,18.28509887
-0.7280162682,-0.7537233545,-0.5266956164,-0.9883718818,-0.7606236119,-0.9532649859,-0.9754821701,-0.7198464105,-0.8681308594,3.412078358,3.117210611,2.749828007,2.978648621,2.423768833,4.623182329,4.751177734,4.984240953,4.29766138,70.49071702,37.88059313,16.38508438,65.78973433,33.13523085,20.01500449,66.15788906,37.66917795,18.29558109
-0.7282488269,-0.7307994232,-0.5400555829,-0.9954064723,-0.7331475535,-0.9818805166,-0.9594950471,-0.7218985718,-0.9057473145,3.641018138,3.289244745,2.579559011,3.018522322,2.468420361,4.652714726,4.556784424,4.932624143,4.465818954,69.00417227,38.02162935,20.09611643,69.76634439,32.81423426,20.10621769,68.459076,37.26686298,18.30023008
